命中条件1,命中条件2,两个条件均命中,代码,名称,市场简称,最新价,收盘价(季线),总市值(日线不复权),13日均线(季线),21日均线(季线),34日均线(季线),销售毛利率,销售毛利率,销售毛利率,加权净资产收益率ROE,加权净资产收益率ROE,加权净资产收益率ROE,上市板块,是否ST,证券类型,流通市值(日线不复权),涨跌幅,最高价(日线不复权),量比,IN_OPTIONAL,涨跌额,序号,成交额,成交量(股),最低价(日线不复权),市盈率(动)(倍),市净率(倍),换手率,市场码
Y,,,000001,平安银行,SZ,10.99,10.99,2132.71亿,10.38,11.62,11.55,,,,,,,深交所主板,否,A股,2132.68亿,-0.54,11.11,1.07,False,-0.06,65,10.75亿,9747.42万,10.96,3.67,0.46,0.50,0
Y,,,000100,TCL科技,SZ,4.18,4.18,869.48亿,4.33,4.40,4.14,,,,,,,深交所主板,否,A股,799.72亿,-2.34,4.33,1.09,False,-0.10,94,28.64亿,6.76亿,4.17,13.97,1.39,3.54,0
Y,,,000166,申万宏源,SZ,4.54,4.54,1136.81亿,4.76,4.56,4.49,,,,,,,深交所主板,否,A股,1023.11亿,-2.78,4.67,1.41,False,-0.13,93,6.02亿,1.31亿,4.52,12.06,0.99,0.58,0
,Y,,000408,藏格矿业,SZ,83.71,,1314.44亿,,,,59.24|2025年报,44.91|2024年报,65.25|2023年报,24.71|2025年报,19.40|2024年报,27.62|2023年报,深交所主板,否,A股,1314.42亿,-4.53,87.65,1.22,False,-3.97,23,17.89亿,2103.64万,83.49,20.88,8.59,1.34,0
,Y,,000426,兴业银锡,SZ,44.14,,783.77亿,,,,57.59|2025年报,62.95|2024年报,52.88|2023年报,19.60|2025年报,21.28|2024年报,16.12|2023年报,深交所主板,否,A股,783.58亿,-8.37,45.70,1.19,False,-4.03,30,52.94亿,1.19亿,43.41,14.65,7.24,6.70,0
Y,,,000538,云南白药,SZ,50.90,50.90,908.19亿,50.50,51.93,51.66,,,,,,,深交所主板,否,A股,902.42亿,-1.17,51.50,0.89,False,-0.60,20,4.06亿,794.92万,50.80,11.14,2.31,0.45,0
Y,Y,Y,000568,泸州老窖,SZ,91.00,91.00,1339.47亿,138.35,166.59,131.36,86.62|2025年报,87.54|2024年报,88.30|2023年报,22.66|2025年报,30.44|2024年报,35.07|2023年报,深交所主板,否,A股,1338.84亿,-3.55,93.20,1.19,False,-3.35,11,12.53亿,1369.78万,90.75,9.03,2.60,0.93,0
Y,Y,Y,000596,古井贡酒,SZ,97.62,97.62,516.02亿,178.26,198.60,165.75,79.26|2025年报,79.90|2024年报,79.07|2023年报,14.28|2025年报,23.89|2024年报,22.92|2023年报,深交所主板,否,A股,398.88亿,-3.38,101.00,0.94,False,-3.42,9,3.27亿,332.71万,97.18,8.03,1.98,0.81,0
Y,,,000625,长安汽车,SZ,8.87,8.87,879.28亿,12.74,12.34,9.34,,,,,,,深交所主板,否,A股,733.29亿,-0.34,9.01,1.15,False,-0.03,72,9.02亿,1.02亿,8.76,62.71,1.14,1.23,0
,Y,,000651,格力电器,SZ,40.28,,2256.25亿,,,,29.81|2025年报,29.43|2024年报,29.43|2023年报,20.30|2025年报,25.42|2024年报,26.53|2023年报,深交所主板,否,A股,2224.27亿,0.15,40.68,1.09,False,0.06,9,19.81亿,4897.96万,39.92,9.27,1.48,0.89,0
Y,,,000708,中信特钢,SZ,14.71,14.71,742.44亿,13.48,14.80,12.19,,,,,,,深交所主板,否,A股,742.43亿,-2.65,15.09,0.98,False,-0.40,59,2.50亿,1688.93万,14.65,12.28,1.75,0.33,0
Y,,,000768,中航西飞,SZ,23.67,23.67,658.17亿,24.89,26.23,23.15,,,,,,,深交所主板,否,A股,657.18亿,-2.31,24.20,0.57,False,-0.56,43,9.90亿,4157.95万,23.60,66.83,2.92,1.50,0
Y,,,000858,五 粮 液,SZ,86.87,86.87,3371.95亿,124.32,148.15,135.10,,,,,,,深交所主板,否,A股,3371.87亿,-2.38,88.08,0.96,False,-2.12,12,31.46亿,3611.79万,86.62,10.46,2.63,0.93,0
Y,,,000963,华东医药,SZ,31.30,31.30,548.92亿,36.02,37.03,32.56,,,,,,,深交所主板,否,A股,548.69亿,-4.57,32.78,1.52,False,-1.50,36,6.58亿,2066.39万,31.06,13.69,2.13,1.18,0
Y,,,001289,龙源电力,SZ,17.27,17.27,1443.74亿,17.36,-,-,,,,,,,深交所主板,否,A股,870.74亿,-2.48,17.59,0.90,False,-0.44,50,1.78亿,1032.12万,17.06,22.23,1.88,0.20,0
,Y,,001389,广合科技,SZ,180.68,,853.70亿,,,,34.43|2025年报,33.38|2024年报,33.30|2023年报,29.24|2025年报,25.87|2024年报,25.60|2023年报,深交所主板,否,A股,274.61亿,-2.86,188.80,0.78,False,-5.32,27,13.49亿,743.49万,176.90,54.37,11.84,4.89,0
Y,,,001965,招商公路,SZ,9.94,9.94,675.43亿,10.52,8.85,7.64,,,,,,,深交所主板,否,A股,675.43亿,0.61,10.07,1.36,False,0.06,68,1.54亿,1548.43万,9.77,12.52,0.96,0.23,0
Y,,,001979,招商蛇口,SZ,9.07,9.07,817.75亿,9.74,10.75,12.37,,,,,,,深交所主板,否,A股,763.11亿,-1.95,9.29,0.63,False,-0.18,71,4.88亿,5343.96万,8.99,522.61,0.84,0.64,0
Y,Y,Y,002027,分众传媒,SZ,5.92,5.92,854.98亿,6.42,6.16,5.90,70.48|2025年报,66.26|2024年报,65.48|2023年报,18.28|2025年报,29.91|2024年报,28.42|2023年报,深交所主板,否,A股,854.98亿,0.00,5.98,0.60,False,0.00,82,6.13亿,1.03亿,5.89,11.94,5.54,0.72,0
,Y,,002028,思源电气,SZ,190.00,,1486.66亿,,,,30.77|2025年报,31.25|2024年报,29.50|2023年报,22.63|2025年报,18.05|2024年报,15.90|2023年报,深交所主板,否,A股,1160.58亿,-6.31,202.80,1.47,False,-12.80,19,34.22亿,1782.60万,188.00,67.58,9.22,2.92,0
Y,,,002049,紫光国微,SZ,77.27,77.27,656.51亿,71.68,95.75,76.22,,,,,,,深交所主板,否,A股,656.42亿,-1.94,80.48,0.92,False,-1.53,15,29.92亿,3824.19万,76.68,49.10,4.71,4.50,0
,Y,,002128,电投能源,SZ,30.31,,679.42亿,,,,36.83|2025年报,34.05|2024年报,31.81|2023年报,14.94|2025年报,16.36|2024年报,16.24|2023年报,深交所主板,否,A股,679.42亿,-5.46,31.63,1.56,False,-1.75,35,7.94亿,2605.36万,30.01,8.49,1.81,1.16,0
Y,,,002179,中航光电,SZ,39.46,39.46,835.54亿,38.81,40.69,32.86,,,,,,,深交所主板,否,A股,827.28亿,-2.28,41.20,0.55,False,-0.92,29,19.20亿,4806.61万,39.10,52.45,3.39,2.29,0
Y,,,002230,科大讯飞,SZ,47.14,47.14,1132.34亿,49.47,49.07,43.47,,,,,,,深交所主板,否,A股,1032.03亿,-1.13,48.54,0.91,False,-0.54,23,25.14亿,5280.79万,47.04,-166.79,4.96,2.41,0
Y,,,002241,歌尔股份,SZ,25.33,25.33,899.16亿,22.92,26.89,23.43,,,,,,,深交所主板,否,A股,796.02亿,0.00,25.95,1.10,False,0.00,41,33.53亿,1.31亿,25.15,44.69,2.41,4.17,0
Y,,,002304,洋河股份,SZ,45.95,45.95,692.21亿,80.34,107.90,106.36,,,,,,,深交所主板,否,A股,692.20亿,-2.55,46.72,0.94,False,-1.20,24,3.13亿,676.50万,45.91,7.07,1.41,0.45,0
Y,,,002311,海大集团,SZ,47.60,47.60,783.20亿,48.98,54.06,47.18,,,,,,,深交所主板,否,A股,782.62亿,-0.04,48.25,0.73,False,-0.02,21,6.00亿,1260.37万,46.22,22.07,3.08,0.77,0
Y,,,002352,顺丰控股,SZ,35.85,35.85,1806.64亿,39.17,45.11,46.06,,,,,,,深交所主板,否,A股,1710.05亿,-1.05,36.21,0.90,False,-0.38,31,7.75亿,2159.12万,35.75,17.88,1.84,0.45,0
,Y,,002371,北方华创,SZ,592.00,,4291.01亿,,,,40.10|2025年报,42.94|2024年报,40.78|2023年报,16.41|2025年报,20.63|2024年报,17.88|2023年报,深交所主板,否,A股,4287.58亿,4.89,620.84,2.01,False,27.60,4,138.40亿,2329.95万,555.00,65.62,10.92,3.22,0
Y,Y,Y,002415,海康威视,SZ,33.12,33.12,3035.41亿,30.60,34.73,33.05,45.88|2025年报,43.83|2024年报,44.33|2023年报,17.30|2025年报,15.34|2024年报,19.64|2023年报,深交所主板,否,A股,2996.17亿,-0.99,34.08,0.83,False,-0.33,34,20.74亿,6185.46万,33.02,27.29,3.83,0.68,0
,Y,,002463,沪电股份,SZ,102.99,,1981.90亿,,,,35.48|2025年报,34.54|2024年报,31.01|2023年报,28.57|2025年报,24.25|2024年报,16.84|2023年报,深交所主板,否,A股,1980.30亿,-3.77,108.00,0.94,False,-4.03,12,65.36亿,6275.84万,101.80,39.89,12.52,3.26,0
,Y,,002595,豪迈科技,SZ,58.97,,684.05亿,,,,33.56|2025年报,34.30|2024年报,34.26|2023年报,21.80|2025年报,21.44|2024年报,20.22|2023年报,深交所主板,否,A股,679.32亿,-0.07,59.98,0.83,False,-0.04,34,3.16亿,535.24万,58.41,33.19,5.83,0.46,0
Y,,,002714,牧原股份,SZ,42.50,42.50,2453.52亿,41.69,45.10,39.39,,,,,,,深交所主板,否,A股,1615.08亿,-0.30,43.13,0.91,False,-0.13,26,19.19亿,4513.88万,41.70,-50.49,2.84,1.19,0
Y,,,002812,恩捷股份,SZ,76.45,76.45,750.84亿,50.28,109.11,87.58,,,,,,,深交所主板,否,A股,628.92亿,0.88,77.61,0.78,False,0.67,16,24.95亿,3279.26万,74.21,72.11,2.94,3.99,0
Y,,,002920,德赛西威,SZ,105.00,105.00,626.65亿,118.31,117.63,86.80,,,,,,,深交所主板,否,A股,626.45亿,1.64,107.20,1.24,False,1.69,6,13.03亿,1238.69万,102.56,33.95,4.13,2.08,0
Y,,,300014,亿纬锂能,SZ,65.78,65.78,1429.59亿,53.01,67.46,52.42,,,,,,,深交所创业板,否,A股,1389.59亿,0.74,67.73,0.87,False,0.48,17,49.75亿,7551.81万,64.51,24.71,2.97,3.57,0
Y,Y,Y,300015,爱尔眼科,SZ,10.58,10.58,986.63亿,13.16,18.13,16.73,47.11|2025年报,48.12|2024年报,50.79|2023年报,14.97|2025年报,17.89|2024年报,18.88|2023年报,深交所创业板,否,A股,841.68亿,-1.86,10.80,0.88,False,-0.20,67,8.59亿,8079.59万,10.49,20.89,4.28,1.02,0
,Y,,300033,同花顺,SZ,231.45,,1741.99亿,,,,91.54|2025年报,89.41|2024年报,89.09|2023年报,38.54|2025年报,24.80|2024年报,20.19|2023年报,深交所创业板,否,A股,1014.70亿,-2.34,241.62,0.90,False,-5.55,15,39.35亿,1677.55万,230.10,170.16,41.01,3.83,0
,Y,,300308,中际旭创,SZ,1049.87,,1.17万亿,,,,42.04|2025年报,33.80|2024年报,32.99|2023年报,43.84|2025年报,31.23|2024年报,16.58|2023年报,深交所创业板,否,A股,1.16万亿,-2.61,1099.87,0.97,False,-28.13,3,292.75亿,2762.53万,1034.00,50.97,33.83,2.49,0
,Y,,300394,天孚通信,SZ,399.99,,3116.57亿,,,,53.96|2025年报,57.22|2024年报,54.30|2023年报,41.91|2025年报,36.74|2024年报,25.08|2023年报,深交所创业板,否,A股,3110.31亿,2.04,414.08,1.24,False,7.99,5,269.27亿,6760.96万,381.91,158.29,51.84,8.69,0
,Y,,300442,润泽科技,SZ,102.46,,1674.55亿,,,,46.04|2025年报,48.93|2024年报,48.57|2023年报,41.80|2025年报,19.50|2024年报,22.54|2023年报,深交所创业板,否,A股,1669.92亿,2.80,110.98,1.50,False,2.79,16,133.60亿,1.26亿,100.62,71.90,11.72,7.73,0
Y,,,300498,温氏股份,SZ,15.08,15.08,1003.41亿,17.41,17.62,18.88,,,,,,,深交所创业板,否,A股,897.15亿,0.00,15.27,0.82,False,0.00,56,7.76亿,5158.24万,14.76,-23.44,2.54,0.87,0
Y,Y,Y,300760,迈瑞医疗,SZ,160.37,160.37,1944.39亿,239.59,272.81,-,60.32|2025年报,63.11|2024年报,64.18|2023年报,21.58|2025年报,32.58|2024年报,33.64|2023年报,深交所创业板,否,A股,1942.72亿,-0.54,163.10,0.81,False,-0.87,3,11.33亿,701.37万,160.07,20.87,4.85,0.58,0
,Y,,300866,安克创新,SZ,134.50,,721.13亿,,,,45.07|2025年报,43.67|2024年报,43.54|2023年报,26.10|2025年报,24.87|2024年报,21.88|2023年报,深交所创业板,否,A股,413.62亿,1.74,135.89,0.67,False,2.30,32,6.87亿,515.42万,130.03,38.23,6.46,1.68,0
Y,,,300999,金龙鱼,SZ,27.58,27.58,1495.27亿,31.51,40.84,-,,,,,,,深交所创业板,否,A股,149.66亿,-1.25,27.95,0.99,False,-0.35,39,2.70亿,974.86万,27.52,25.23,1.53,1.80,0
Y,,,301269,华大九天,SZ,95.67,95.67,521.82亿,104.26,-,-,,,,,,,深交所创业板,否,A股,521.82亿,1.49,98.28,1.07,False,1.40,10,10.65亿,1114.54万,92.72,-178.70,10.03,2.04,0
,Y,,301696,三瑞智能,SZ,139.48,,557.93亿,,,,60.00|2025年报,59.79|2024年报,55.99|2023年报,44.03|2025年报,55.32|2024年报,48.48|2023年报,深交所创业板,否,A股,41.96亿,20.00,139.48,0.97,False,23.25,38,14.48亿,1128.35万,114.40,107.06,25.55,37.51,0
Y,,,600000,浦发银行,SH,9.07,9.07,3020.84亿,9.16,8.25,8.22,,,,,,,上交所主板,否,A股,3020.84亿,0.55,9.22,1.71,False,0.05,70,15.59亿,1.72亿,8.93,4.23,0.40,0.52,1
Y,,,600009,上海机场,SH,26.07,26.07,648.70亿,33.36,40.19,49.27,,,,,,,上交所主板,否,A股,533.47亿,-1.70,26.65,1.24,False,-0.45,40,3.53亿,1343.78万,26.06,28.07,1.50,0.66,1
Y,,,600011,华能国际,SH,7.53,7.53,1182.07亿,7.54,7.33,6.45,,,,,,,上交所主板,否,A股,828.13亿,0.00,7.61,0.77,False,0.00,73,12.18亿,1.63亿,7.35,6.59,1.69,1.48,1
Y,,,600016,民生银行,SH,3.61,3.61,1580.55亿,3.66,3.37,3.70,,,,,,,上交所主板,否,A股,1280.18亿,-0.82,3.65,1.14,False,-0.03,97,6.68亿,1.84亿,3.61,3.43,0.27,0.52,1
Y,,,600018,上港集团,SH,5.10,5.10,1187.28亿,5.28,5.10,4.85,,,,,,,上交所主板,否,A股,1185.58亿,-0.20,5.13,1.22,False,-0.01,88,3.26亿,6392.49万,5.07,7.41,0.82,0.27,1
Y,,,600019,宝钢股份,SH,6.22,6.22,1354.85亿,6.34,6.05,5.37,,,,,,,上交所主板,否,A股,1354.85亿,-2.05,6.36,1.16,False,-0.13,79,7.54亿,1.20亿,6.22,15.23,0.65,0.55,1
Y,,,600027,华电国际,SH,5.34,5.34,620.07亿,5.40,4.86,3.97,,,,,,,上交所主板,否,A股,492.12亿,1.33,5.38,0.98,False,0.07,86,9.72亿,1.84亿,5.18,8.67,1.24,1.99,1
Y,,,600028,中国石化,SH,5.13,5.13,6203.48亿,5.73,4.79,4.14,,,,,,,上交所主板,否,A股,4860.80亿,-0.39,5.17,0.93,False,-0.02,87,14.44亿,2.81亿,5.09,9.12,0.74,0.30,1
Y,,,600029,南方航空,SH,5.37,5.37,973.10亿,6.08,6.35,6.59,,,,,,,上交所主板,否,A股,723.71亿,-2.19,5.49,1.09,False,-0.12,85,7.71亿,1.43亿,5.35,16.43,2.63,1.06,1
Y,,,600048,保利发展,SH,6.21,6.21,743.36亿,8.64,10.70,10.79,,,,,,,上交所主板,否,A股,743.36亿,-1.74,6.34,0.50,False,-0.11,80,6.15亿,9841.37万,6.16,20.30,0.38,0.82,1
Y,,,600050,中国联通,SH,4.66,4.66,1456.92亿,4.78,4.31,4.44,,,,,,,上交所主板,否,A股,1444.15亿,-1.27,4.77,0.67,False,-0.06,92,10.78亿,2.30亿,4.63,17.04,0.85,0.74,1
Y,,,600104,上汽集团,SH,12.94,12.94,1487.49亿,15.04,15.47,17.86,,,,,,,上交所主板,否,A股,1487.49亿,-0.99,13.13,1.00,False,-0.13,62,5.37亿,4125.31万,12.92,12.29,0.50,0.36,1
Y,,,600115,中国东航,SH,4.13,4.13,912.22亿,4.23,4.56,4.91,,,,,,,上交所主板,否,A股,703.13亿,-4.84,4.34,1.44,False,-0.21,95,12.93亿,3.10亿,4.10,13.97,6.47,1.82,1
Y,,,600196,复星医药,SH,24.13,24.13,644.37亿,25.74,32.95,32.84,,,,,,,上交所主板,否,A股,511.19亿,-1.51,24.62,0.72,False,-0.37,42,4.60亿,1891.85万,24.03,18.50,1.31,0.89,1
